00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,15,08,08,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,15,08,16,03,03,18,08,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,29,28,00,00,00,00,29,24,28,00,00,00
00,00,11,03,03,01,20,20,05,18,08,08,08,12,00,00,00,00,15,08,08,08,08,08,08,12,00,00,00,00,00,00,00,00,00,29,32,34,24,28,00,29,32,36,34,28,00,00
00,00,11,03,05,06,03,05,05,05,06,05,06,09,00,15,08,08,16,06,03,06,03,06,03,18,08,08,12,00,00,00,00,00,29,32,36,02,02,34,24,32,02,02,02,34,28,00
00,00,11,03,03,05,03,03,05,05,01,05,05,09,00,11,03,03,03,05,06,19,17,03,06,03,19,17,18,12,00,00,00,00,27,02,02,02,02,36,02,02,02,02,02,02,26,00
00,00,14,17,03,03,07,07,03,20,05,06,19,13,00,11,03,06,05,03,03,18,16,06,06,05,18,16,06,18,12,00,00,00,27,02,02,02,02,02,02,02,02,02,36,36,26,00
00,00,00,11,03,21,05,07,07,21,20,05,09,00,00,11,03,05,19,17,05,05,05,19,10,17,06,06,06,03,09,08,08,08,27,02,02,02,02,02,02,02,02,02,02,02,26,00
00,00,00,14,17,03,05,06,07,21,20,05,09,00,15,16,03,03,18,16,06,05,05,09,00,11,06,19,17,19,13,00,00,00,31,33,02,02,02,02,02,02,02,02,02,02,26,00
00,00,00,00,11,05,06,05,07,07,03,19,13,00,11,20,20,21,03,05,03,05,06,18,08,16,06,18,16,09,00,00,00,00,00,27,02,02,02,02,02,02,36,02,02,35,30,00
00,15,12,00,11,05,05,05,05,21,20,09,00,00,14,17,21,20,21,05,03,05,05,03,05,03,03,03,19,13,00,00,00,00,00,27,02,36,02,02,02,02,02,02,35,30,00,00
00,14,13,00,11,05,06,05,07,20,21,09,00,00,00,11,03,21,03,03,03,06,05,19,17,05,03,19,13,00,00,00,00,00,00,31,33,02,02,02,02,02,02,02,26,00,00,00
00,00,00,00,11,05,05,05,07,03,19,13,15,12,00,11,07,07,07,03,05,21,05,18,16,03,03,09,00,00,00,00,00,00,00,00,31,33,02,02,02,02,02,02,34,28,00,00
00,00,00,15,16,06,05,06,07,05,09,00,14,13,00,11,21,07,20,21,20,03,05,03,03,03,03,09,00,00,00,00,00,00,00,00,00,27,02,02,02,02,02,02,02,26,00,00
